R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10, M_s11, M_s12,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10, P_s11, P_s12,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10, M_u11, M_u12,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10, P_u11, P_u12
0.002061855670103093,0.0020758020514448396,0.02604681035152411,0.19999999999999998,-1.0,1.0003506337885932,0.0010958297275510463, 0.0017094148417243643, 0.0010994606435424544, 0.001289258045087546, 0.000760403012076281, 0.0013055236661927657, 0.0010970078322593455, 0.0008446738418445326, 0.0021885802046059176, 0.0019738081573809807, 0.0015461378032058989, 0.0012062020550093345,1.5636037885106207, 0.4149268920287069, -0.0582896920971886, -0.4732453754901322, 0.5772663943083354, 0.1295670471940052, -0.4663679863776856, 0.09094536560735515, 0.5435262593362573, 0.725442427633188, 0.518343403747373, 0.4535994517315124,0.03232147113439191, 0.030330757975065167, 0.003089844989136523, 0.03143329634526969, 0.01760833058583627, 0.01369151186671617, 0.008034409463641267, 0.010050445098699037, 0.026136745105099137, 0.023531476129741113, 0.011628665820919608, 0.0007492223549261704,3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793
0.002105263157894737,0.0021159155130555276,0.027558534436786915,1.0,-1.0,1.000654693905847,0.0011798091013847142, 0.0017747502166133356, 0.0011070182249246796, 0.0013838765640074742, 0.0007886745090989967, 0.0013579777814989957, 0.001109621079566175, 0.0009224025111031338, 0.001952484210603633, 0.0018795052530303441, 0.0014592120289740685, 0.0011726082683173801,1.5702515374061825, 0.17897397377845134, -0.07247055688134622, -0.4702747168587137, 0.5495718999257683, 0.09944202034901915, -0.5235718298384304, 0.16536770966128495, 0.5224916102203865, 0.5361301654181846, 0.32428307312085547, 0.3907254723831911,0.01697766896023732, 0.0272776941459692, 0.009593368147049053, 0.022236029025405, 0.003575914991192397, 0.01863124630553747, 0.021647536501242234, 0.018846487005797573, 0.002134967386609626, 0.014462268048571146, 0.03851377375119102, 0.022211333126616176,3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0011551543567102334, 0.0017752455590375276, 0.0011318747934671906, 0.0013583827319271443, 0.000776142175751527, 0.0013636605829259515, 0.0009896219305826543, 0.0008809963461796777, 0.0024174761439585885, 0.0018639901103837202, 0.0015041518009778305, 0.001097532263799277,1.5701851113821894, 0.29415996964108365, -0.12144496112957905, -0.5696793737702465, 0.3490712159457631, 0.2272933012522292, -0.4026294409411366, 0.29516477709804045, 0.523478623650137, 0.6171245932863125, 0.3756730355068373, 0.4962051135874249,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,nan,-1.0,-1.0,0.0012179282342046223, 0.0018411638499354558, 0.0011357787346383144, 0.00147444848231845, 0.0008125020276865063, 0.001385908197368875, 0.001031119446897484, 0.0009543184607432809, 0.0020710557721357013, 0.001933812197895196, 0.0014798339622153459, 0.0012478875061761934,1.5637006903407449, 0.5062628665666353, -0.05343088331850736, -0.14384162167306433, 0.22365130181359016, 0.03606818869861463, -0.3523363322284185, 0.4675693236298144, 0.622563121824501, 0.5191765625401195, 0.20682035888445127, 0.22136960187103494,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0087527352297593,0.008788936429858639,0.059585651155240886,0.0,-1.0,1.0001525753731149,0.001229969633319804, 0.0016726412777410776, 0.0010831340816724467, 0.0013603865627953209, 0.0008429182073047116, 0.0012775274831825138, 0.0012653915353095892, 0.0009901425410063054, 0.0019652475500394665, 0.0017698839770050791, 0.0015495226164390604, 0.0012168650463317801,1.5735637365417867, 0.6028779935100802, -0.1315400964009634, -0.32539029682731113, 0.36712546981650335, 0.17325504247792264, -0.38134073846705635, 0.3536288799476411, 0.6446484305132285, 0.7278043192033438, 0.36738632106918134, 0.3812954759385371,0.007155360862900764, 0.01311861208113208, 0.008196151846264715, 0.009847677426147101, 0.0036844328745641937, 0.010254809602401976, 0.006837596755173729, 0.006936856177714694, 0.017639190424179867, 0.014994383128840712, 0.009779027029652592, 0.00797083686145671,1.5641302868171563, 1.5556600989592915, 1.5623115938371699, -1.5599082797731576, 0.0008999874949215947, 1.5589725154565808, 0.0014569678476229475, -0.0044126047503662, 1.550075244528724, 1.5517443151674255, 1.5588398548968863, 1.5605147001423805
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0012173208607039626, 0.001742305901420498, 0.0011314915603115618, 0.0013796447270399935, 0.0008572323288747449, 0.001310680135116141, 0.0009460926799981664, 0.0008806720686714266, 0.002210497287830004, 0.0019975818528414064, 0.0014490619836032533, 0.0011762920048689737,1.5635373547436968, 0.276095247233298, 0.02693650475640228, -0.3937822118949457, 0.27549774368658997, 0.14478009662050573, -0.2560736160741602, 0.3022497380045208, 0.7026880543854026, 0.5383285137871414, 0.4140639026449219, 0.40083322432791096,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.001208345404898021, 0.001837624767679879, 0.0011321044493019623, 0.0014367147827205632, 0.0007777974798188676, 0.001403285570408794, 0.0010194377450044208, 0.001025272884572175, 0.002171155828315626, 0.0019287978722158123, 0.0015132263320780039, 0.001174245818974471,1.5601189150979327, 0.3191275384456602, -0.43022600238208913, -0.2571085805292658, 0.33055846671490086, -0.010319035277883592, -0.5130534480083491, 0.007087801147385012, 0.5220173438518874, 0.49660927051038134, 0.17460604777367422, 0.26903441035731673,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,nan,-1.0,-1.0,0.001314316016420098, 0.0019364993565057342, 0.0011423894546417047, 0.0015655669960169462, 0.0008473257871667487, 0.0014177173943392101, 0.0011944867198465205, 0.000910909249792113, 0.0020866495079410914, 0.0018344982959055656, 0.0014594606537046578, 0.0011309712287196066,1.570018009271987, 0.4425640329370638, -0.013157934659936496, -0.44243882823697894, 0.6036415178600715, 0.13414776902225678, -0.3763182045447059, 0.46941359378276665, 0.6170162431098176, 0.48275220834070764, 0.3486445553411808, 0.40224767145134094,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0012836815383011062, 0.0017504243844991432, 0.0011135627135377632, 0.0014024414487398345, 0.0009389850614791304, 0.0012913917930329635, 0.0011672386818868464, 0.0009165481338443017, 0.0020269841738586344, 0.001851856382591116, 0.0014652964810496802, 0.0011881870397330173,1.5636425156994171, 0.176637399211684, -0.2612704891734159, -0.4120119311680985, 0.3463502215807621, -0.16339334720470397, -0.35305573309036264, 0.29476993611820484, 0.5955180585985513, 0.6478217837395914, 0.09801970225405342, 0.2287762884058352,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.1297709923664122,0.13056894000649635,0.41694691783569815,0.49999999999999994,-1.0,1.0147434046132864,0.0006363267674191956, 0.0011427582759405003, 0.0007926919082277652, 0.0008041213757193376, 0.0004909802745592093, 0.0009251852551344257, 0.0007069097433343923, 0.0006160294422663352, 0.0012432931459195927, 0.001150896159619422, 0.0009708721643034679, 0.0007443458182436238,1.570400089137253, 0.11988219257841591, -0.08185101693968187, -0.22049889869058228, 0.33928974377839727, -0.026935813021151205, -0.35748779715054674, 0.3588662268027424, 0.5792188168799137, 0.37699608492821096, 0.2666877111747017, 0.22977206603313438,0.0042073176427253785, 0.004838750380839917, 0.004133758027181374, 0.0038794015265949246, 0.0031642465162883553, 0.004128089905192226, 0.00359207513214568, 0.0029329015338195492, 0.0066243943382438995, 0.0054615901120049345, 0.0036240766351108124, 0.002443960415288782,1.5380343564580663, 0.7402688338737579, 0.24956336379260313, -0.8619497405295471, 0.7982491679831754, 0.49491414485765245, -1.0428745722333057, -0.06211751916528935, 0.8561224722978918, 1.1046466835963726, 0.8623669447181306, 0.9854685088113491
