R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10, M_s11, M_s12,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10, P_s11, P_s12,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10, M_u11, M_u12,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10, P_u11, P_u12
0.002061855670103093,0.0020758020514448396,0.02604681035152411,0.19999999999999998,-1.0,1.0003506337885932,0.0010958297275510463, 0.0017094148417243643, 0.0010994606435424544, 0.001289258045087546, 0.000760403012076281, 0.0013055236661927657, 0.0010970078322593455, 0.0008446738418445326, 0.0021885802046059176, 0.0019738081573809807, 0.0015461378032058989, 0.0012062020550093345,1.5636037885106207, 0.4149268920287069, -0.0582896920971886, -0.4732453754901322, 0.5772663943083354, 0.1295670471940052, -0.4663679863776856, 0.09094536560735515, 0.5435262593362573, 0.725442427633188, 0.518343403747373, 0.4535994517315124,0.03232147113439191, 0.030330757975065167, 0.003089844989136523, 0.03143329634526969, 0.01760833058583627, 0.01369151186671617, 0.008034409463641267, 0.010050445098699037, 0.026136745105099137, 0.023531476129741113, 0.011628665820919608, 0.0007492223549261704,3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0010960096097731304, 0.001704621791855568, 0.0011163565599097767, 0.0012916635729566534, 0.0007314410562001184, 0.0013290416838414672, 0.001144781469244184, 0.0008890141424999565, 0.002146007302310126, 0.0020187120846839406, 0.0015526462588234956, 0.0012139848633478665,1.5638088171297173, 0.3485858673090237, -0.09577545353288805, -0.47639281710804693, 0.4169013503079598, 0.06503693591604656, -0.17391982990195629, 0.4072186664574106, 0.589843315718069, 0.6382556230003008, 0.6044981868537198, 0.5148819732056256,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.002105263157894737,0.0021159155130555276,0.027558534436786915,1.0,-1.0,1.000654693905847,0.0011798091013847142, 0.0017747502166133356, 0.0011070182249246796, 0.0013838765640074742, 0.0007886745090989967, 0.0013579777814989957, 0.001109621079566175, 0.0009224025111031338, 0.001952484210603633, 0.0018795052530303441, 0.0014592120289740685, 0.0011726082683173801,1.5702515374061825, 0.17897397377845134, -0.07247055688134622, -0.4702747168587137, 0.5495718999257683, 0.09944202034901915, -0.5235718298384304, 0.16536770966128495, 0.5224916102203865, 0.5361301654181846, 0.32428307312085547, 0.3907254723831911,0.01697766896023732, 0.0272776941459692, 0.009593368147049053, 0.022236029025405, 0.003575914991192397, 0.01863124630553747, 0.021647536501242234, 0.018846487005797573, 0.002134967386609626, 0.014462268048571146, 0.03851377375119102, 0.022211333126616176,3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793
0.0,0.0,0.0,0.0,-1.0,-1.0,0.001234874726459226, 0.0016811128399756023, 0.0011049928037381927, 0.0013711024146884955, 0.0008828045826330486, 0.0012704782098554948, 0.0009178062890927049, 0.0008461342642536591, 0.002591436334330586, 0.002009900471694558, 0.0015133435478444917, 0.0012325252867509651,1.5701977166764023, 0.17553836369766884, -0.13674996078364238, -0.40352645169363777, 0.37776644274228094, 0.05834171066392435, -0.3190525067950323, 0.32579178491025174, 0.6575578945258697, 0.36429404181512626, 0.18860224129264616, 0.22141407248814649,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0011551543567102334, 0.0017752455590375276, 0.0011318747934671906, 0.0013583827319271443, 0.000776142175751527, 0.0013636605829259515, 0.0009896219305826543, 0.0008809963461796777, 0.0024174761439585885, 0.0018639901103837202, 0.0015041518009778305, 0.001097532263799277,1.5701851113821894, 0.29415996964108365, -0.12144496112957905, -0.5696793737702465, 0.3490712159457631, 0.2272933012522292, -0.4026294409411366, 0.29516477709804045, 0.523478623650137, 0.6171245932863125, 0.3756730355068373, 0.4962051135874249,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0042643923240938165,0.004284982311675334,0.004286595116045264,0.0,-1.0,1.0002659785802739,0.0011769246163598934, 0.0018078654492453155, 0.0011877317933065698, 0.001468928728439018, 0.0008030057622004784, 0.001359796927853965, 0.0010401864316241624, 0.0009112837919677345, 0.002091204024646115, 0.0018327424066605263, 0.0014246524388057096, 0.001103042956541487,1.5668531981493314, 0.43702638644044334, -0.11403460137188667, -0.10063234739913055, 0.40321337795840156, 0.16823204800643768, -0.4163704301718057, 0.3634087705292135, 0.6648869704819947, 0.5775015845984985, 0.29563693680518915, 0.2552287979126529,0.0011200000855014901, 0.0018384966358769824, 0.0009069868989356521, 0.0014564306284050113, 0.00043637926708318156, 0.0013365122773069372, 0.0010760593132085952, 0.0008802038948337665, 0.0018133909869854346, 0.0021671569022453153, 0.0018605373121379305, 0.001399958939021545,1.5704039133224326, 1.5700084087504986, 1.570399033178123, -1.5702048516223401, -1.5707936432583103, 1.5702044240378206, -1.5707190846497738, 1.570568102237285, 1.5699947000508632, 1.5698889198787798, 1.5700140764684751, 1.570217247391837
0.0,0.0,0.0,nan,-1.0,-1.0,0.0012179282342046223, 0.0018411638499354558, 0.0011357787346383144, 0.00147444848231845, 0.0008125020276865063, 0.001385908197368875, 0.001031119446897484, 0.0009543184607432809, 0.0020710557721357013, 0.001933812197895196, 0.0014798339622153459, 0.0012478875061761934,1.5637006903407449, 0.5062628665666353, -0.05343088331850736, -0.14384162167306433, 0.22365130181359016, 0.03606818869861463, -0.3523363322284185, 0.4675693236298144, 0.622563121824501, 0.5191765625401195, 0.20682035888445127, 0.22136960187103494,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0013228691022791762, 0.0016915698514561035, 0.0010866625707672403, 0.0014329020036224125, 0.0008889606580977744, 0.0012470778285785485, 0.0009517995168022014, 0.0008813617507399986, 0.002193969440856225, 0.002004485398133023, 0.0015703326263104536, 0.0012382928583073685,1.5634748980014195, 0.35168776161071685, 0.054303769354561326, -0.44633660983679235, 0.2502539732261231, 0.22317805098668247, -0.5546942301930784, 0.2777324579994918, 0.7510465500908253, 0.466440169933952, 0.38524801678034215, 0.399080475345979,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0087527352297593,0.008788936429858639,0.059585651155240886,0.0,-1.0,1.0001525753731149,0.001229969633319804, 0.0016726412777410776, 0.0010831340816724467, 0.0013603865627953209, 0.0008429182073047116, 0.0012775274831825138, 0.0012653915353095892, 0.0009901425410063054, 0.0019652475500394665, 0.0017698839770050791, 0.0015495226164390604, 0.0012168650463317801,1.5735637365417867, 0.6028779935100802, -0.1315400964009634, -0.32539029682731113, 0.36712546981650335, 0.17325504247792264, -0.38134073846705635, 0.3536288799476411, 0.6446484305132285, 0.7278043192033438, 0.36738632106918134, 0.3812954759385371,0.007155360862900764, 0.01311861208113208, 0.008196151846264715, 0.009847677426147101, 0.0036844328745641937, 0.010254809602401976, 0.006837596755173729, 0.006936856177714694, 0.017639190424179867, 0.014994383128840712, 0.009779027029652592, 0.00797083686145671,1.5641302868171563, 1.5556600989592915, 1.5623115938371699, -1.5599082797731576, 0.0008999874949215947, 1.5589725154565808, 0.0014569678476229475, -0.0044126047503662, 1.550075244528724, 1.5517443151674255, 1.5588398548968863, 1.5605147001423805
0.004166666666666667,0.004189335927842677,0.016199427093433635,0.0,-1.0,1.0000635574897325,0.0011204613239491333, 0.001789599007511719, 0.0011969343317170312, 0.0013777291498890856, 0.0007783516125826249, 0.0014250688679756892, 0.0011342521020312726, 0.00099628720726576, 0.0022581804391597587, 0.0019483881456165658, 0.0014979673342714608, 0.0010809610959472678,1.5765877524914704, 0.2898325448595778, -0.07758782037798123, -0.07879501125731346, 0.35394690595419664, 0.09303086614456843, -0.2882038822405508, 0.355778024808161, 0.6057998825984301, 0.5787835641039774, 0.23674499912584543, 0.27601646525838125,0.005940687230114057, 0.004747773077833074, 0.003928807166089159, 0.005006676342388844, 0.004437724063242241, 0.0031933109572156067, 0.00682056253702654, 0.0034672540019177814, 0.009189436875794934, 0.00839186198797956, 0.005542861397951554, 0.004677378127758167,1.5651409015473867, 1.5624335724155696, 1.5680860049856749, -1.563785936525135, 1.5693282725794226, 1.565264012344241, -1.567114715583662, 1.5679566567723124, 1.5539041278920767, 1.555892021772897, 1.561739116812716, 1.5640379650653642
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0012173208607039626, 0.001742305901420498, 0.0011314915603115618, 0.0013796447270399935, 0.0008572323288747449, 0.001310680135116141, 0.0009460926799981664, 0.0008806720686714266, 0.002210497287830004, 0.0019975818528414064, 0.0014490619836032533, 0.0011762920048689737,1.5635373547436968, 0.276095247233298, 0.02693650475640228, -0.3937822118949457, 0.27549774368658997, 0.14478009662050573, -0.2560736160741602, 0.3022497380045208, 0.7026880543854026, 0.5383285137871414, 0.4140639026449219, 0.40083322432791096,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.021321961620469083,0.02143422229224206,0.07535082564864846,0.0,-1.0,1.0008887505031516,0.001256566642499045, 0.001938788843988238, 0.0011029795784275494, 0.0014985029285996003, 0.000785931404397111, 0.001413234234840396, 0.0010051139320731211, 0.0008490974682346128, 0.0018349530795714654, 0.0016878474987220438, 0.0013569245664173432, 0.0010883206750827267,1.5803864166955344, 0.3214844497542725, -0.07487414329139448, -0.29383333182265475, 0.4306780256160742, 0.19844125478511113, -0.4447001006412456, 0.07533191797009867, 0.5952149550762725, 0.5265226190045376, 0.23933185024020953, 0.2667397740909346,0.003290056911472137, 0.00555742165061459, 0.004285398792277658, 0.004058408095781528, 0.0027443211560244747, 0.004654143564579348, 0.0031638992519516518, 0.004008711757949755, 0.009996441245491348, 0.007823758555551282, 0.005327744254492647, 0.004257089634280639,1.568068048659901, -0.312816971938542, -0.3100851811285753, -1.5701062598772508, 0.9390825442723946, -0.31144925397247053, -0.9393211773500507, -0.941460633629761, 0.31262079185473207, 0.31224728576641303, 0.9405574869264133, 0.9404056038019837
0.0,0.0,0.0,0.0,-1.0,-1.0,0.001208345404898021, 0.001837624767679879, 0.0011321044493019623, 0.0014367147827205632, 0.0007777974798188676, 0.001403285570408794, 0.0010194377450044208, 0.001025272884572175, 0.002171155828315626, 0.0019287978722158123, 0.0015132263320780039, 0.001174245818974471,1.5601189150979327, 0.3191275384456602, -0.43022600238208913, -0.2571085805292658, 0.33055846671490086, -0.010319035277883592, -0.5130534480083491, 0.007087801147385012, 0.5220173438518874, 0.49660927051038134, 0.17460604777367422, 0.26903441035731673,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0013212833112017533, 0.0019788104964128033, 0.0010612690378605343, 0.0015757167740242102, 0.000778369188381118, 0.0014421530748663519, 0.0009985808356938303, 0.0009489637445416375, 0.0022923535425781625, 0.001988802459172941, 0.0015118285826722555, 0.0011780663471485466,1.566678743704624, 0.31168762901350766, -0.08984607306642887, -0.23967065678726696, 0.39763126522400016, 0.20623522154558527, -0.47496824348010525, 0.3172819857222591, 0.6516953010992481, 0.5825511972703752, 0.3520630875551037, 0.3267034831544327,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,nan,-1.0,-1.0,0.001314316016420098, 0.0019364993565057342, 0.0011423894546417047, 0.0015655669960169462, 0.0008473257871667487, 0.0014177173943392101, 0.0011944867198465205, 0.000910909249792113, 0.0020866495079410914, 0.0018344982959055656, 0.0014594606537046578, 0.0011309712287196066,1.570018009271987, 0.4425640329370638, -0.013157934659936496, -0.44243882823697894, 0.6036415178600715, 0.13414776902225678, -0.3763182045447059, 0.46941359378276665, 0.6170162431098176, 0.48275220834070764, 0.3486445553411808, 0.40224767145134094,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
