R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10, M_s11, M_s12,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10, P_s11, P_s12,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10, M_u11, M_u12,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10, P_u11, P_u12
0.0038910505836575876,0.003926884015275017,0.011969510170279847,0.0,-1.0,1.0001283305682886,0.0007183270065188227, 0.0008884209674720937, 0.0011183453331658074, 0.0005674926449598562, 0.0008399403874074071, 0.0009354436090766972, 0.0010633894683029577, 0.001314912503513018, 0.0021182374914201526, 0.0021346909884392105, 0.0017347653537189212, 0.0008773283230954928,1.576555325134604, 0.3107179127097753, -0.08237192496026279, -0.544688438016968, 0.2898287993774811, 0.016190708978001064, -0.46757403566810724, -0.2704877346022005, -0.2454124548427276, -0.22068157532425692, 0.0006349510176500383, 0.17511315848768594,0.002197749663725286, 0.0012098131890071737, 0.0028717729180933096, 0.0010406216766600984, 0.0024848459287259163, 0.001909385076704923, 0.0043824719727270905, 0.005019545266494115, 0.008056255931226908, 0.007943570213388346, 0.006057218541695839, 0.001210592562461863,1.5686595692866536, -1.5678468872537459, -1.5657065057884643, 1.5703909477915208, 1.567184190445725, -1.566777362126745, -1.5706575555108528, 1.5705328061471102, 1.5707538342047618, -1.5691382296038128, -1.5667605483943978, -1.5678432800626094
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0008560547495981359, 0.0010174934865148316, 0.0012132903399339169, 0.0006918187262104281, 0.0009645102196262923, 0.0010024167653973292, 0.0011186373886132993, 0.0012967823633157694, 0.001882434229514824, 0.0018471463666265334, 0.0015279297657813005, 0.0010068174586065953,1.567317550244613, 0.09340207744649466, -0.4250561920939932, -0.387416886195062, 0.3981409243342758, -0.1026037621882087, -0.43585703177344315, -0.30055809115291643, -0.2266365782819864, -0.22639691262564782, 0.05670602749618828, 0.11622620958434876,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.00408997955010225,0.0041099235396597905,0.0033936788901852027,0.0,-1.0,1.0005917872327712,0.0007020477530553772, 0.0008886690164919734, 0.0012214599970483957, 0.0005399899564981805, 0.0008984274150635545, 0.0010144542217614897, 0.0010743535738296777, 0.001251254090093491, 0.00209302128900795, 0.002240010266739988, 0.001813794482730221, 0.0007903112547591199,1.5608028217875838, 0.16286257366234239, -0.07486105649049991, -0.5102664878444984, 0.34049708786131083, -0.02389949003360076, -0.09166889450193332, -0.0916225426561986, 0.007787994809881019, 0.03290300064012254, 0.018375662226653825, 0.32929063617818016,0.00013236643490529824, 0.001505872378053932, 0.0014184859766383947, 0.0007987418201076602, 0.0006690185472085308, 0.0014605379272133756, 0.0004125441163924663, 0.0005847771480034197, 0.001173020722910496, 0.0014652685793635073, 0.001285444113143775, 0.0011400018115530603,1.5706773099261082, -1.5707313049525025, -1.570613340950243, -1.5707677485662757, 1.5706437946057001, -1.5706712207844742, -1.5702963481516687, -1.5700892748945723, -1.5697145828539778, -1.5699066524282836, -1.57057899292416, 1.5699870957633744
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006753992348434926, 0.0009757542061220956, 0.0013098720214392264, 0.0005781378091647575, 0.0009412639794694889, 0.0010897717887907768, 0.0009930892217414773, 0.0011772727694570116, 0.001990428398561931, 0.002103004388373769, 0.0017362939975484651, 0.0008521883082393419,1.5735145250678468, 0.31056591975649744, -0.2729194101867649, -0.367689525952983, 0.22830782035701555, 0.018792065509138037, -0.20898913327658844, -0.18364900997597877, -0.23441872069527173, -0.20913006693890399, -0.26034320484770024, 0.20855813291406425,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006585502006883848, 0.000852186150170855, 0.001181083120493824, 0.0004989976542166989, 0.000843873179260633, 0.0009980335241346, 0.0010612027689967827, 0.0012683430427756005, 0.0020071117623714266, 0.0020690063636012055, 0.0016816697835242223, 0.0007742766358312587,1.5704855430254159, 0.2286840104185109, -0.16680127444742499, -0.6058282327117085, 0.48215067376711496, -0.12987043977548943, -0.3522909854539902, -0.20388908345294696, -0.1668116851879381, -0.12975297353678714, -0.17936727483718679, 0.14194018692320218,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006280220432244453, 0.0008694188872162889, 0.001174637484707979, 0.0004958765856758697, 0.0008553795665599449, 0.000985894703380891, 0.0010633008683301498, 0.0012670692124871212, 0.0020784514214254347, 0.0021740029111790987, 0.0017622696273688968, 0.0007988814774156724,1.5699792207365824, 0.2995648809854266, -0.27921885945131325, -0.4498662511516336, 0.0898301006865475, -0.002460918569915292, -0.4650913652289138, -0.3643442478574379, -0.37809756011726553, -0.3028291968595261, -0.18954159965343664, 0.09420322030871943,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006499886367150647, 0.0009218226157435627, 0.0012743255125462214, 0.0004909588713970834, 0.0008872004068333707, 0.0010764427922076005, 0.0010328390954580703, 0.0012332662377343398, 0.002014048667722301, 0.0021440609241705545, 0.0017685512955915729, 0.0007554903372380099,1.5673456857241967, 0.04522459268665239, -0.2406102141185007, -0.18111730469732903, 0.3223120053400008, -0.352726913903278, -0.16840869645815484, -0.11876551716898569, 0.0553075063359198, 0.06850415537176974, -0.004591791546369894, 0.10146210916670213,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.000664317687360913, 0.0009291044926506493, 0.0012256396506081292, 0.0004991853542849624, 0.0009156755189924959, 0.0010454419041988482, 0.0010552199121172802, 0.0012720241827808535, 0.0020645099046921835, 0.0021167309572843697, 0.0017202190503844922, 0.0008000901598587377,1.573561298456062, 0.044152820047489404, -0.2942469704096444, -0.4326469356117434, -0.018904670174175322, 0.069268515728763, -0.4576290570769481, -0.3449296171807464, -0.10684063473151727, 0.10600345609879559, 0.11870338824649726, 0.3569524687489469,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.000718685779984078, 0.0010069325473747357, 0.001309985220859964, 0.000527787223740804, 0.0009389128939527806, 0.0011430607100332963, 0.001055227759306198, 0.0012502167228707142, 0.00195892663234665, 0.0020152654613334884, 0.0016796241589438698, 0.000858760103353073,1.5704526696460803, 0.13990877249708197, -0.1043851048635813, -0.13410767418942665, 0.3728673464411381, -0.20225791067481955, -0.2868392814044916, -0.2990106506255267, 0.06762427565274248, 0.06736280013140726, -0.17758558694321971, 0.18256760937742736,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006948727273403237, 0.0009501998046467806, 0.0012072471196909508, 0.0005767920335045577, 0.0008983318130827789, 0.001002863856569071, 0.0011103896649126493, 0.0013328836150713903, 0.002090366504441346, 0.0021144028296849293, 0.001702672750183839, 0.0008945386809604243,1.5704077286723066, 0.025434109184719226, -0.34455176896123674, -0.4786502036070222, 0.41476735054602626, -0.051034353493374277, -0.32544602668699035, -0.24883565256335677, -0.17216723898385558, -0.10829051840956144, -0.04451713585362036, 0.3765815128142164,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0007499279807126068, 0.0010229197459161016, 0.0013272768774206273, 0.0005788731804572967, 0.0009692052140920337, 0.0010919408659517185, 0.00109968305366081, 0.0013288999972255063, 0.002099708852746597, 0.002074313164546138, 0.0017692244557121247, 0.00089519407042189,1.5670406420217564, 0.0004407513622472637, -0.5325818940964767, -0.26022871546026827, 0.23287271933981799, -0.17273621087026528, -0.30620117455190643, -0.4119064775981202, -0.24728568537957443, 0.04604259965239909, 0.03161153656319686, 0.14733732907413058,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0007141852591663587, 0.0008843878826542078, 0.0011080591424530214, 0.0005936324438829727, 0.0008439712300985754, 0.000924001349815187, 0.001028712124922152, 0.0013090695462480472, 0.002173910966412936, 0.002136845817648078, 0.001721792614969762, 0.0008720965831140576,1.5704125911563356, 0.2571810802345851, -0.34115933870242526, -0.5339692885387116, 0.38606368190033563, -0.00015270736061607308, -0.27637601586005395, -0.12180848643204978, -0.08300544815618899, 0.10999562998971961, 0.1289746950435665, 0.1540761504169382,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.000617245594126253, 0.0010684541138291487, 0.0013392468052369328, 0.000594450238777656, 0.0009076139072036507, 0.0011680196092313693, 0.001025261107101021, 0.001237265291545932, 0.002035636192877884, 0.0021524978807454897, 0.0018284140622113938, 0.0008035026294005628,1.573567574347654, 0.11796453939519613, -0.41273930832234207, -0.3463644667859443, 0.42426177415180255, -0.31171642846694353, -0.11979466980487462, -0.11990721461036283, -0.10801747593146797, -0.08302367479314707, -0.19720934198273446, 0.13088271955949127,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006869771117224286, 0.0009978032221531663, 0.0013831772881852454, 0.0005645416789383267, 0.0009903194962470078, 0.001139575127996394, 0.0010152539713410634, 0.001226600355030443, 0.0019996157508641752, 0.0020946031412434774, 0.0017264431661589254, 0.0007564058659638697,1.5736327482976509, 0.17968064672589962, -0.42131964051314236, -0.3583589524745755, 0.40890973495972305, -0.19119259660360055, -0.3072925065435767, -0.11538245677683459, -0.08246738625109262, 0.0842296547729089, -0.04212395776949539, 0.07541012878241696,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006829145140943507, 0.0009269303268518121, 0.001241070595180208, 0.0005206358018645717, 0.000893694543370545, 0.0010349064290412012, 0.0009880432402222434, 0.0012359492556745576, 0.001991279691548232, 0.0020102977119740876, 0.0016837901480072897, 0.0008687207508152067,1.5768239674894615, -0.03230028978097294, -0.40529457148642195, -0.5469455680482456, 0.5211439921538756, -0.10937938820677585, -0.41801555521910516, -0.28922725865965754, -0.19893248775196404, -0.12167492727244833, -0.22476417628581125, 0.1609454330566818,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.004032258064516129,0.004053324922564137,0.00020031082072811764,0.0,-1.0,1.000600114671997,0.0007135317668801304, 0.0008170619698274284, 0.001220360730600752, 0.0004817761511338499, 0.0009004556660386189, 0.0009750934665350463, 0.0010828086875430062, 0.0013203656659288112, 0.0021117914803101493, 0.002151940679912201, 0.0017448210410872633, 0.0007468189093840154,1.5832061264792818, 0.04392793465622363, -0.2229239470624077, -0.33655336671112207, 0.38803745960826247, -0.15934154917958887, -0.28502614275313265, -0.2085233324417011, -0.23319574724141207, -0.19499763749427604, -0.23319956450114088, 0.0452203872084892,4.2476722615943e-05, 6.686385640249308e-05, 0.00010745887989031603, 1.1962584846379503e-05, 7.719466361080078e-05, 8.809415312319842e-05, 1.991471803506622e-05, 2.4145588220264062e-05, 5.0411892189965505e-05, 9.859199384943502e-05, 9.5797858070134e-05, 2.3105030261288975e-05,1.5707712285305757, -1.570758000774665, -1.570734072620474, 1.5707900941791397, 1.5707513936131028, -1.5707454712174598, 1.5707868833438363, 1.5707873539609187, -1.57077285344157, -1.5707393326309167, -1.5707396487871632, -1.5707871494971306
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0006625336614071323, 0.0009005635504860759, 0.0012557956839529415, 0.0005112223710199857, 0.0008831004643967613, 0.0010368159981213334, 0.0010965229173439638, 0.0013402378222847138, 0.0020845303789271807, 0.0020738139655567885, 0.001665377214412966, 0.0007586035953724233,1.5736220263102314, 0.17650009141360107, -0.15049325376344733, -0.3463472466649144, 0.4087759943311877, -0.13802034441924538, -0.2345291156324679, -0.24783948174682413, -0.1340927883161714, -0.07136216036612869, 0.00549409191270486, 0.28768112363784953,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.000881338731536511, 0.0009102076004766621, 0.0013631828068748494, 0.0006436245495189235, 0.001092826232984432, 0.0010633067908908385, 0.0010398895628120012, 0.0011978792575714362, 0.0019441725967449955, 0.0020793623650674185, 0.0016805901823317008, 0.000839128707149008,1.5705003838413696, 0.42922880099811805, -0.2924347275091058, -0.21124120171105523, 0.06573816590869168, 0.08128470993818335, -0.26444424376619347, -0.26480910517457856, -0.11114146951311878, -0.059735373183618504, -0.021225613057362997, 0.17843947051205766,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.0007654708834025738, 0.0010225826202374091, 0.001422390390978794, 0.0005888120084339552, 0.0010099111221029153, 0.0011744730472026481, 0.0010376278184631579, 0.0012619799304899298, 0.002020455217687076, 0.0020332990481628254, 0.0016667198133915701, 0.00108559006390127,1.5799774174093784, 0.0625027348741052, -0.2170354585256899, -0.3582878256324876, 0.5896676230016973, 0.009611291773301096, -0.18060391409005677, -0.05225449420779508, 0.0629661325276063, 0.036566516663287266, 0.128480343462902, 0.1520386564970186,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0.0,0.0,0.0,0.0,-1.0,-1.0,0.000738554439363612, 0.000926546147643594, 0.001307476977514278, 0.0005448330579732217, 0.0009562351222962047, 0.0010792345927755549, 0.001097272118262325, 0.0013259572245627304, 0.0021403768172818883, 0.0022182924371614552, 0.001820157212883314, 0.0008822940235697331,1.573643880551025, 0.12849974189335853, -0.15384691722174454, -0.4431235017421986, 0.44293563629094723, -0.10260718276558364, -0.32129242788562595, -0.19288908209672598, -0.05151564278812347, -0.11566698509691625, 0.20543553240686308, 0.3401347907003716,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
